Teks,label,clean_text,normal_text,removedsw_text,stemmed_text,tokenized_text
Anda akan berhenti berlangganan Paket Flash. Ketik FLASH<spasi>YA jika setuju. Tunggu SMS konfirmasi penonaktifan Paket Anda,2,anda akan berhenti berlangganan paket flash ketik flash spasi ya jika setuju tunggu sms konfirmasi penonaktifan paket anda,anda akan berhenti berlangganan paket flash ketik flash spasi iya jika setuju tunggu sms konfirmasi penonaktifan paket anda,akan berhenti berlangganan paket flash ketik flash spasi iya setuju tunggu sms konfirmasi penonaktifan paket,akan henti langgan paket flash ketik flash spasi iya tuju tunggu sms konfirmasi nonaktif paket,"['akan', 'henti', 'langgan', 'paket', 'flash', 'ketik', 'flash', 'spasi', 'iya', 'tuju', 'tunggu', 'sms', 'konfirmasi', 'nonaktif', 'paket']"
Anda akan berlangganan paket Rp. 10000 utk 150 MB 2G/3G + 250 MB 3G/90hari. Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan. Paket diperpanjang pada akhir masa aktif dengan tarif sesuai lokasi Anda. Tunggu SMS konfirmasi sblm pemakaian. Info zona dan detail tarif lihat di Tsel.me/internet,2,anda akan berlangganan paket rp  utk  mb g g  mb g hari jika setuju balas flash spasi ya kirim ke  utk melanjutkan paket diperpanjang pada akhir masa aktif dengan tarif sesuai lokasi anda tunggu sms konfirmasi sblm pemakaian info zona dan detail tarif lihat di tsel me internet,anda akan berlangganan paket rp untuk mb g g mb g hari jika setuju balas flash spasi iya kirim ke untuk melanjutkan paket diperpanjang pada akhir masa aktif dengan tarif sesuai lokasi anda tunggu sms konfirmasi sebelum pemakaian informasi zona dan detail tarif lihat di tsel me internet,akan berlangganan paket rp mb g g mb g hari setuju balas flash spasi iya kirim untuk melanjutkan paket diperpanjang akhir masa aktif tarif sesuai lokasi tunggu sms konfirmasi pemakaian informasi zona detail tarif lihat tsel me internet,akan langgan paket rp mb g g mb g hari tuju balas flash spasi iya kirim untuk lanjut paket panjang akhir masa aktif tarif sesuai lokasi tunggu sms konfirmasi pakai informasi zona detail tarif lihat tsel me internet,"['akan', 'langgan', 'paket', 'rp', 'mb', 'g', 'g', 'mb', 'g', 'hari', 'tuju', 'balas', 'flash', 'spasi', 'iya', 'kirim', 'untuk', 'lanjut', 'paket', 'panjang', 'akhir', 'masa', 'aktif', 'tarif', 'sesuai', 'lokasi', 'tunggu', 'sms', 'konfirmasi', 'pakai', 'informasi', 'zona', 'detail', 'tarif', 'lihat', 'tsel', 'me', 'internet']"
"Anda akan membeli Paket Gampang Internetan Rp.1250 utk Chatting Sepuasnya (BBM, WhatsApp dan Line)/1 hari.Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan.Tunggu SMS konfirmasi sblm pemakaian.Info detail tariff lihat di Tsel.me/internet ",2,anda akan membeli paket gampang internetan rp  utk chatting sepuasnya bbm whatsapp dan line  hari jika setuju balas flash spasi ya kirim ke  utk melanjutkan tunggu sms konfirmasi sblm pemakaian info detail tariff lihat di tsel me internet,anda akan membeli paket gampang internetan rp untuk chatting sepuasnya bbm whatsapp dan line hari jika setuju balas flash spasi iya kirim ke untuk melanjutkan tunggu sms konfirmasi sebelum pemakaian informasi detail tariff lihat di tsel me internet,akan membeli paket gampang internetan rp chatting sepuasnya bbm whatsapp line hari setuju balas flash spasi iya kirim untuk melanjutkan tunggu sms konfirmasi pemakaian informasi detail tariff lihat tsel me internet,akan beli paket gampang internetan rp chatting puas bbm whatsapp line hari tuju balas flash spasi iya kirim untuk lanjut tunggu sms konfirmasi pakai informasi detail tariff lihat tsel me internet,"['akan', 'beli', 'paket', 'gampang', 'internetan', 'rp', 'chatting', 'puas', 'bbm', 'whatsapp', 'line', 'hari', 'tuju', 'balas', 'flash', 'spasi', 'iya', 'kirim', 'untuk', 'lanjut', 'tunggu', 'sms', 'konfirmasi', 'pakai', 'informasi', 'detail', 'tariff', 'lihat', 'tsel', 'me', 'internet']"
"Anda akan menerima setting ponsel, agar ponsel Anda dapat mengakses internet dan berkirim foto/MMS. Jika Anda setuju balas pesan ini (gratis) dengan ketik Y.",2,anda akan menerima setting ponsel agar ponsel anda dapat mengakses internet dan berkirim foto mms jika anda setuju balas pesan ini gratis dengan ketik y,anda akan menerima setting telepon seluler agar telepon seluler anda dapat mengakses internet dan berkirim foto mms jika anda setuju balas pesan ini gratis dengan ketik kenapa,akan menerima setting telepon seluler telepon seluler dapat mengakses internet berkirim foto mms anda setuju balas pesan gratis ketik,akan terima setting telepon seluler telepon seluler dapat akses internet kirim foto mms anda tuju balas pesan gratis ketik,"['akan', 'terima', 'setting', 'telepon', 'seluler', 'telepon', 'seluler', 'dapat', 'akses', 'internet', 'kirim', 'foto', 'mms', 'anda', 'tuju', 'balas', 'pesan', 'gratis', 'ketik']"
Anda akan mengaktifkan Paket BBM Gratis berlaku 30 hari dari pertama kali aktivasi. Ketik FLASH (spasi) YA untuk melanjutkan,2,anda akan mengaktifkan paket bbm gratis berlaku  hari dari pertama kali aktivasi ketik flash spasi ya untuk melanjutkan,anda akan mengaktifkan paket bbm gratis berlaku hari dari pertama kali aktivasi ketik flash spasi iya untuk melanjutkan,akan mengaktifkan paket bbm gratis berlaku hari pertama kali aktivasi ketik flash spasi iya melanjutkan,akan aktif paket bbm gratis laku hari pertama kali aktivasi ketik flash spasi iya lanjut,"['akan', 'aktif', 'paket', 'bbm', 'gratis', 'laku', 'hari', 'pertama', 'kali', 'aktivasi', 'ketik', 'flash', 'spasi', 'iya', 'lanjut']"
Anda mendapatkan 1 kupon dalam program Kartu As BIBER (Beli Internet Berhadiah). Cek total kupon maksimal 1x24 jam dari skrg di *100*123#. Info lengkap hub:188,2,anda mendapatkan  kupon dalam program kartu as biber beli internet berhadiah cek total kupon maksimal x jam dari skrg di   info lengkap hub ,anda mendapatkan kupon dalam program kartu as biber beli internet berhadiah cek total kupon maksimal x jam dari sekarang di informasi lengkap hub,mendapatkan kupon program kartu as biber beli internet berhadiah cek total kupon maksimal x jam sekarang informasi lengkap hub,dapat kupon program kartu as biber beli internet hadiah cek total kupon maksimal x jam sekarang informasi lengkap hub,"['dapat', 'kupon', 'program', 'kartu', 'as', 'biber', 'beli', 'internet', 'hadiah', 'cek', 'total', 'kupon', 'maksimal', 'x', 'jam', 'sekarang', 'informasi', 'lengkap', 'hub']"
Anda sedang menikmati Paket Reguler dgn sisa kuota 209715 KB.Dapatkan beragam Paket INTERNET HEMAT Tri di *123*3#,2,anda sedang menikmati paket reguler dgn sisa kuota  kb dapatkan beragam paket internet hemat tri di  ,anda sedang menikmati paket reguler dengan sisa kuota kb dapatkan beragam paket internet hemat tri di,sedang menikmati paket reguler sisa kuota kb dapatkan beragam paket internet hemat tri,sedang nikmat paket reguler sisa kuota kb dapat agam paket internet hemat tri,"['sedang', 'nikmat', 'paket', 'reguler', 'sisa', 'kuota', 'kb', 'dapat', 'agam', 'paket', 'internet', 'hemat', 'tri']"
Anda tidak terdaftar dalam layanan Paket Malam hari. Untuk berlangganan lakukan isi ulang dengan voucher Kenyang Download,2,anda tidak terdaftar dalam layanan paket malam hari untuk berlangganan lakukan isi ulang dengan voucher kenyang download,anda tidak terdaftar dalam layanan paket malam hari untuk berlangganan lakukan isi ulang dengan voucher kenyang download,tidak terdaftar layanan paket malam hari berlangganan lakukan isi ulang voucher kenyang download,tidak daftar layan paket malam hari langgan laku isi ulang voucher kenyang download,"['tidak', 'daftar', 'layan', 'paket', 'malam', 'hari', 'langgan', 'laku', 'isi', 'ulang', 'voucher', 'kenyang', 'download']"
"Anda tlh menukarkan poin 95 poin, Tukarkan terus poinnya siapa tahu anda pemenang hadih LG G3 32gb, pemenang adalah yang menukarkan poin tertinggi s/d 30 November 15",2,anda tlh menukarkan poin  poin tukarkan terus poinnya siapa tahu anda pemenang hadih lg g gb pemenang adalah yang menukarkan poin tertinggi s d  november ,anda tlh menukarkan poin poin tukarkan terus poinnya siapa tahu anda pemenang hadih lagi g gb pemenang adalah yang menukarkan poin tertinggi s di november,tlh menukarkan poin poin tukarkan terus poinnya siapa tahu pemenang hadih g gb pemenang yang menukarkan poin tertinggi s november,tlh tukar poin poin tukar terus poin siapa tahu menang hadih g gb menang yang tukar poin tinggi s november,"['tlh', 'tukar', 'poin', 'poin', 'tukar', 'terus', 'poin', 'siapa', 'tahu', 'menang', 'hadih', 'g', 'gb', 'menang', 'yang', 'tukar', 'poin', 'tinggi', 's', 'november']"
AngpaoPoinSenyum! Dptkan Vchr Lottemart 50rb dg tukar 2500poin (normal 5000poin) sd 11Feb16. Ketik *123*7887*2*5# TERBATAS! Info: www.indosatooredoo.com/angpao,2,angpaopoinsenyum dptkan vchr lottemart rb dg tukar poin normal poin sd feb ketik     terbatas info www indosatooredoo com angpao,angpaopoinsenyum dptkan vchr lottemart rb dengan tukar poin normal poin sd feb ketik terbatas informasi www indosatooredoo com angpao,angpaopoinsenyum dptkan vchr lottemart rb tukar poin normal poin sd feb ketik terbatas informasi www indosatooredoo com angpao,angpaopoinsenyum dptkan vchr lottemart rb tukar poin normal poin sd feb ketik batas informasi www indosatooredoo com angpao,"['angpaopoinsenyum', 'dptkan', 'vchr', 'lottemart', 'rb', 'tukar', 'poin', 'normal', 'poin', 'sd', 'feb', 'ketik', 'batas', 'informasi', 'www', 'indosatooredoo', 'com', 'angpao']"
Awal bulan saat nya anda eksis lebih lama! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/FL,2,awal bulan saat nya anda eksis lebih lama internetan pake volume ultima mb hr hrga mulai rp rb di   tarif lokasi cek di tsel me fl,awal bulan saat nya anda eksis lebih lama internetan pakai volume ultima mb hari hrga mulai rp rb di tarif lokasi cek di tsel me fl,awal bulan nya eksis lebih lama internetan pakai volume ultima mb hari hrga mulai rp rb tarif lokasi cek tsel me fl,awal bulan nya eks lebih lama internetan pakai volume ultima mb hari hrga mulai rp rb tarif lokasi cek tsel me fl,"['awal', 'bulan', 'nya', 'eks', 'lebih', 'lama', 'internetan', 'pakai', 'volume', 'ultima', 'mb', 'hari', 'hrga', 'mulai', 'rp', 'rb', 'tarif', 'lokasi', 'cek', 'tsel', 'me', 'fl']"
"Ayam (sayap/paha bawah), Nasi, Perkedel Rp. 19.545. GRATIS Teh Pucuk. Tukar SMS ini di CFC HASAN SADIKIN hari ini. Selama Persediaan msh ada. Promo *606#",2,ayam sayap paha bawah nasi perkedel rp   gratis teh pucuk tukar sms ini di cfc hasan sadikin hari ini selama persediaan msh ada promo ,ayam sayap paha bawah nasi perkedel rp gratis kakak perempuan pucuk tukar sms ini di cfc hasan sadikin hari ini selama persediaan masih ada promo,ayam sayap paha bawah nasi perkedel rp gratis kakak perempuan pucuk tukar sms di cfc hasan sadikin hari selama persediaan ada promo,ayam sayap paha bawah nasi perkedel rp gratis kakak perempuan pucuk tukar sms di cfc hasan sadikin hari lama sedia ada promo,"['ayam', 'sayap', 'paha', 'bawah', 'nasi', 'perkedel', 'rp', 'gratis', 'kakak', 'perempuan', 'pucuk', 'tukar', 'sms', 'di', 'cfc', 'hasan', 'sadikin', 'hari', 'lama', 'sedia', 'ada', 'promo']"
"Ayo anak Medan, beli sticker line dengan pulsamu Caranya klik http://www.telkomsel.com/linestore nama stickernya : Kedan Medan",2,ayo anak medan beli sticker line dengan pulsamu caranya klik http www telkomsel com linestore nama stickernya kedan medan,ayo anak medan beli sticker line dengan pulsamu caranya klik http www telkomsel com linestore nama stickernya kedan medan,ayo anak medan beli sticker line pulsamu caranya klik http www telkomsel com linestore nama stickernya kedan medan,ayo anak medan beli sticker line pulsa cara klik http www telkomsel com linestore nama stickernya dan medan,"['ayo', 'anak', 'medan', 'beli', 'sticker', 'line', 'pulsa', 'cara', 'klik', 'http', 'www', 'telkomsel', 'com', 'linestore', 'nama', 'stickernya', 'dan', 'medan']"
AYO download AXISnet dari Apple/Play Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 1GB 30hr dapat OBOR 5GB (00-06) Rp18800. Info838. LD335,2,ayo download axisnet dari apple play store dan aktifkan bronetjam gb hr rp dan bronetjam gb hr dapat obor gb   rp info ld,ayo download axisnet dari apple play store dan aktifkan bronetjam gb hari rp dan bronetjam gb hari dapat obor gb rp informasi ld,ayo download axisnet apple play store aktifkan bronetjam gb hari rp bronetjam gb hari obor gb rp informasi ld,ayo download axisnet apple play store aktif bronetjam gb hari rp bronetjam gb hari obor gb rp informasi ld,"['ayo', 'download', 'axisnet', 'apple', 'play', 'store', 'aktif', 'bronetjam', 'gb', 'hari', 'rp', 'bronetjam', 'gb', 'hari', 'obor', 'gb', 'rp', 'informasi', 'ld']"
AYO download AXISnet dari PLAY/Apple Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 3GB 60hr dapat OBOR 10GB (00-06) Rp39800. Info838. LD307,2,ayo download axisnet dari play apple store dan aktifkan bronetjam gb hr rp dan bronetjam gb hr dapat obor gb   rp info ld,ayo download axisnet dari play apple store dan aktifkan bronetjam gb hari rp dan bronetjam gb hari dapat obor gb rp informasi ld,ayo download axisnet play apple store aktifkan bronetjam gb hari rp bronetjam gb hari obor gb rp informasi ld,ayo download axisnet play apple store aktif bronetjam gb hari rp bronetjam gb hari obor gb rp informasi ld,"['ayo', 'download', 'axisnet', 'play', 'apple', 'store', 'aktif', 'bronetjam', 'gb', 'hari', 'rp', 'bronetjam', 'gb', 'hari', 'obor', 'gb', 'rp', 'informasi', 'ld']"
Ayo dukung pelestarian alam Indonesia bersama Indosat Ooredoo dan WWF-Indonesia dg berdonasi melalui *123*50# dari nomor Indosat Ooredoo.,2,ayo dukung pelestarian alam indonesia bersama indosat ooredoo dan wwf indonesia dg berdonasi melalui   dari nomor indosat ooredoo,ayo dukung pelestarian alam indonesia bersama indosat ooredoo dan wwf indonesia dengan berdonasi melalui dari nomor indosat ooredoo,ayo dukung pelestarian alam indonesia bersama indosat ooredoo wwf indonesia berdonasi melalui nomor indosat ooredoo,ayo dukung lestari alam indonesia sama indosat ooredoo wwf indonesia donasi lalu nomor indosat ooredoo,"['ayo', 'dukung', 'lestari', 'alam', 'indonesia', 'sama', 'indosat', 'ooredoo', 'wwf', 'indonesia', 'donasi', 'lalu', 'nomor', 'indosat', 'ooredoo']"
"Ayo kawal pemanfaatan subsidi BBM & Kompensasi bagi yang berhak! Pengaduan, ketik BBM (spasi) isi pesan. Kirim 1708",2,ayo kawal pemanfaatan subsidi bbm kompensasi bagi yang berhak pengaduan ketik bbm spasi isi pesan kirim ,ayo kawal pemanfaatan subsidi bbm kompensasi bagi yang berhak pengaduan ketik bbm spasi isi pesan kirim,ayo kawal pemanfaatan subsidi bbm kompensasi yang berhak pengaduan ketik bbm spasi isi pesan kirim,ayo kawal manfaat subsidi bbm kompensasi yang hak adu ketik bbm spasi isi pesan kirim,"['ayo', 'kawal', 'manfaat', 'subsidi', 'bbm', 'kompensasi', 'yang', 'hak', 'adu', 'ketik', 'bbm', 'spasi', 'isi', 'pesan', 'kirim']"
"BANTING HARGA !! Internetan dgn Kuota 1,5GB HANYA 10rb Rupiah, paket Berlaku sebulan. Mau?? Ketik YA ke 919 s/d 16 Desember 2015",2,banting harga internetan dgn kuota  gb hanya rb rupiah paket berlaku sebulan mau ketik ya ke  s d  desember ,banting harga internetan dengan kuota gb hanya rb rupiah paket berlaku sebulan mau ketik iya ke s di desember,banting harga internetan kuota gb rb rupiah paket berlaku sebulan mau ketik iya s desember,banting harga internetan kuota gb rb rupiah paket laku bulan mau ketik iya s desember,"['banting', 'harga', 'internetan', 'kuota', 'gb', 'rb', 'rupiah', 'paket', 'laku', 'bulan', 'mau', 'ketik', 'iya', 's', 'desember']"
BEBAS ekspresikan dirimu bersama Paket Freedom Combo dari Indosat Ooredoo. Segera hub *123# atau www.indosatooredoo.com/freedom,2,bebas ekspresikan dirimu bersama paket freedom combo dari indosat ooredoo segera hub  atau www indosatooredoo com freedom,bebas ekspresikan dirimu bersama paket freedom combo dari indosat ooredoo segera hub atau www indosatooredoo com freedom,bebas ekspresikan dirimu bersama paket freedom combo indosat ooredoo segera hub www indosatooredoo com freedom,bebas ekspresi diri sama paket freedom combo indosat ooredoo segera hub www indosatooredoo com freedom,"['bebas', 'ekspresi', 'diri', 'sama', 'paket', 'freedom', 'combo', 'indosat', 'ooredoo', 'segera', 'hub', 'www', 'indosatooredoo', 'com', 'freedom']"
Bebas Pulsa! Ambil bonusmu di *600# (GRATIS). Dptkan gratis nelpon atau internetas atau promo lainnya sesuai hobimu!,2,bebas pulsa ambil bonusmu di  gratis dptkan gratis nelpon atau internetas atau promo lainnya sesuai hobimu,bebas pulsa ambil bonusmu di gratis dptkan gratis nelpon atau internetas atau promo lainnya sesuai hobimu,bebas pulsa ambil bonusmu gratis dptkan gratis nelpon internetas promo lainnya sesuai hobimu,bebas pulsa ambil bonus gratis dptkan gratis nelpon internetas promo lain sesuai hobi,"['bebas', 'pulsa', 'ambil', 'bonus', 'gratis', 'dptkan', 'gratis', 'nelpon', 'internetas', 'promo', 'lain', 'sesuai', 'hobi']"
"Beli 1 Gratis 1 untuk Lychee Tea atau Latte Flavour dari Yellow Truck Jl.Patuha No.29. Tukarkan SMS ini. Hanya berlaku untuk hari ini, S&K Berlaku.Promo *606#",2,beli  gratis  untuk lychee tea atau latte flavour dari yellow truck jl patuha no  tukarkan sms ini hanya berlaku untuk hari ini s k berlaku promo ,beli gratis untuk lychee tea atau latte flavour dari yellow truck jl patuha nomor tukarkan sms ini hanya berlaku untuk hari ini s ke berlaku promo,beli gratis lychee tea latte flavour yellow truck jl patuha nomor tukarkan sms hanya berlaku hari s berlaku promo,beli gratis lychee tea latte flavour yellow truck jl patuha nomor tukar sms hanya laku hari s laku promo,"['beli', 'gratis', 'lychee', 'tea', 'latte', 'flavour', 'yellow', 'truck', 'jl', 'patuha', 'nomor', 'tukar', 'sms', 'hanya', 'laku', 'hari', 's', 'laku', 'promo']"
Beli 2 Gratis 1 atau beli 1 Diskon 25% tiket Kampung Gajah Wonderland Bandung s.d 31 Mei 2013. Tunjukkan SMS kpd Petugas .Info: www.indosat.com/kampunggajah,2,beli  gratis  atau beli  diskon  tiket kampung gajah wonderland bandung s d  mei  tunjukkan sms kpd petugas info www indosat com kampunggajah,beli gratis atau beli diskon tiket kampung gajah wonderland bandung s di mei tunjukkan sms kepada petugas informasi www indosat com kampunggajah,beli gratis beli diskon tiket kampung gajah wonderland bandung s mei tunjukkan sms petugas informasi www indosat com kampunggajah,beli gratis beli diskon tiket kampung gajah wonderland bandung s mei tunjuk sms tugas informasi www indosat com kampunggajah,"['beli', 'gratis', 'beli', 'diskon', 'tiket', 'kampung', 'gajah', 'wonderland', 'bandung', 's', 'mei', 'tunjuk', 'sms', 'tugas', 'informasi', 'www', 'indosat', 'com', 'kampunggajah']"
